year,subtotal_group,revised_name,gross_expenditure,net_expenditure,property_tax_levy,avg_cpi,inflation_factor,inflation_adjusted_gross,inflation_adjusted_net,inflation_adjusted_levy,inflation_adjusted_levy_2017,gross_expenditure_normalized,inflation_adjusted_gross_normalised,property_tax_levy_normalized,inflation_adjusted_levy_normalized
2022,Total Transportation & Environmental Services,RTMP Reserve Fund,,0,0,152.73636363636365,1,,0,0,42342.64341851274,,,0,0
2017,Total Transportation & Environmental Services,Transit Services,,117218,58449,131.86666666666667,1.1582636271716151,,135769.34584980237,67699.35074455374,67699.35074455374,,,1,1
2018,Total Transportation & Environmental Services,Transit Services,,157171,63444,134.96666666666667,1.1316598935764162,,177864.11713329892,71797.03028806215,67699.35074455374,,,1.0854591182056152,1.0605276047471999
2019,Total Transportation & Environmental Services,Transit Services,177415,177026,113280,137.49166666666667,1.1108772432489022,197086.28611100398,196654.15486338016,125840.17411523564,67699.35074455374,1,1,1.9380998819483652,1.8588091721892799
2020,Total Transportation & Environmental Services,Transit Services,185221,184306,122238,138.36666666666667,1.1038523028404985,204456.62738441996,203446.6025273209,134932.69779461686,67699.35074455374,1.0439985345094833,1.03739652016815,2.0913616999435405,1.9931165707002279
2021,Total Transportation & Environmental Services,Transit Services,180444,179863,123654,143.175,1.0667809578233884,192494.2231534835,191874.4234169881,131911.73255869327,67699.35074455374,1.01707296451822,0.9767002410561731,2.115587948467895,1.9484933179998816
2022,Total Transportation & Environmental Services,Transit Services,192347,191466,125496,152.73636363636365,1,192347,191466,125496,67699.35074455374,1.0841642476678972,0.9759532425897218,2.1471026022686446,1.8537253108013871
2017,Total Transportation & Environmental Services,Transportation,,66398,48870,131.86666666666667,1.1582636271716151,,76906.3883169409,56604.34345987683,56604.34345987683,,,1,1
2018,Total Transportation & Environmental Services,Transportation,,51235,50123,134.96666666666667,1.1316598935764162,,57980.59464738768,56722.18884573071,56604.34345987683,,,1.0256394516063025,1.0020819141898079
2019,Total Transportation & Environmental Services,Transportation,54703,53395,52200,137.49166666666667,1.1108772432489022,60768.3178374447,59315.29040327513,57987.7920975927,56604.34345987683,1,1,1.0681399631675874,1.0244406798693197
2020,Total Transportation & Environmental Services,Transportation,57856,56548,52571,138.36666666666667,1.1038523028404985,63864.47883313988,62420.64002102451,58030.61941262785,56604.34345987683,1.0576385207392647,1.050950250161234,1.07573153263761,1.0251972881509
2021,Total Transportation & Environmental Services,Transportation,59253,57847,53692,143.175,1.0667809578233884,63209.97209390924,61710.07806720955,57277.60318745337,56604.34345987683,1.0831764254245653,1.0401797242931088,1.098669940658891,1.011894135439514
2022,Total Transportation & Environmental Services,Transportation,64283,62870,58396,152.73636363636365,1,64283,62870,58396,56604.34345987683,1.175127506718096,1.0578374108027324,1.194925312052384,1.0316522802069625
2017,Total Transportation & Environmental Services,Waste Management,,52317,37273,131.86666666666667,1.1582636271716151,,60596.87818273739,43171.96017556761,43171.96017556761,,,1,1
2018,Total Transportation & Environmental Services,Waste Management,,54228,38345,134.96666666666667,1.1316598935764162,,61367.6527088619,43393.49861918768,43171.96017556761,,,1.028760765165133,1.0051315354391863
2019,Total Transportation & Environmental Services,Waste Management,59016,57524,41359,137.49166666666667,1.1108772432489022,65559.53138757721,63902.10254064985,45944.77190353135,43171.96017556761,1,1,1.1096235881200869,1.0642271445792022
2020,Total Transportation & Environmental Services,Waste Management,62133,60641,44166,138.36666666666667,1.1038523028404985,68585.6551323887,66938.70749655068,48752.74080725346,43171.96017556761,1.0528161854412363,1.0461584102381931,1.184932793174684,1.1292686412428452
2021,Total Transportation & Environmental Services,Waste Management,64374,62883,45929,143.175,1.0667809578233884,68672.9573789228,67082.38697080813,48996.182611870405,43171.96017556761,1.090788938592924,1.0474900586604186,1.2322324470796555,1.1349075282340064
2022,Total Transportation & Environmental Services,Waste Management,64610,63118,45212,152.73636363636365,1,64610,63118,45212,43171.96017556761,1.09478785414125,0.9855165013007225,1.2129960024682747,1.0472538151183348
